station,temp,YY,MM,DD,hh,mm
bdxc1,13.80798319,2016,3,2,23,0
bdxc1,14.15458333,2016,3,3,23,0
bdxc1,13.86708333,2016,3,4,23,0
bdxc1,13.96208333,2016,3,5,23,0
bdxc1,14.09748954,2016,3,6,23,0
bdxc1,13.94125,2016,3,7,23,0
bdxc1,13.43208333,2016,3,8,23,0
bdxc1,13.35291667,2016,3,9,23,0
bdxc1,13.67815126,2016,3,10,23,0
bdxc1,13.6275,2016,3,11,23,0
bdxc1,13.51666667,2016,3,12,23,0
bdxc1,13.62166667,2016,3,13,23,0
bdxc1,13.59705882,2016,3,14,23,0
bdxc1,13.46610879,2016,3,15,23,0
bdxc1,13.41833333,2016,3,16,23,0
bdxc1,13.97083333,2016,3,17,23,0
bdxc1,13.39333333,2016,3,18,23,0
bdxc1,13.52208333,2016,3,19,23,0
bdxc1,14.05083333,2016,3,20,23,0
bdxc1,14.42773109,2016,3,21,23,0
bdxc1,13.86610879,2016,3,22,23,0
bdxc1,13.3407563,2016,3,23,23,0
bdxc1,12.83263598,2016,3,24,23,0
bdxc1,15.41757322,2016,3,25,23,0
bdxc1,13.24208333,2016,3,26,23,0
bdxc1,13.00708333,2016,3,27,23,0
bdxc1,13.92754237,2016,3,28,23,0
bdxc1,9.679059829,2016,3,29,23,0
bdxc1,10.12791667,2016,3,30,23,0
bdxc1,10.79533898,2016,3,31,23,0
bdxc1,10.88033473,2016,4,1,23,0
bdxc1,11.06569038,2016,4,2,23,0
bdxc1,11.08050847,2016,4,3,23,0
bdxc1,11.03529412,2016,4,4,23,0
bdxc1,10.20209205,2016,4,5,23,0
bdxc1,11.45230126,2016,4,6,23,0
bdxc1,11.88583333,2016,4,7,23,0
bdxc1,11.51476793,2016,4,8,23,0
bdxc1,12.15,2016,4,9,23,0
bdxc1,12.31208333,2016,4,10,23,0
bdxc1,12.34916667,2016,4,11,23,0
bdxc1,12.03138075,2016,4,12,23,0
bdxc1,10.74340426,2016,4,13,23,0
bdxc1,10.65708333,2016,4,14,23,0
bdxc1,10.48375,2016,4,15,23,0
bdxc1,10.50583333,2016,4,16,23,0
bdxc1,10.91583333,2016,4,17,23,0
bdxc1,11.69102564,2016,4,18,23,0
bdxc1,12.5707113,2016,4,19,23,0
bdxc1,12.54916667,2016,4,20,23,0
bdxc1,13.65899582,2016,4,21,23,0
bdxc1,14.09537815,2016,4,22,23,0
bdxc1,14.13319328,2016,4,23,23,0
bdxc1,12.51548117,2016,4,24,23,0
bdxc1,11.08075314,2016,4,25,23,0
bdxc1,9.999166667,2016,4,26,23,0
bdxc1,9.82875,2016,4,27,23,0
bdxc1,9.650423729,2016,4,28,23,0
bdxc1,9.351666667,2016,4,29,23,0
bdxc1,9.45375,2016,4,30,23,0
bdxc1,9.243096234,2016,5,1,23,0
bdxc1,11.53875,2016,5,2,23,0
bdxc1,10.91506276,2016,5,3,23,0
bdxc1,10.95166667,2016,5,4,23,0
bdxc1,11.96386555,2016,5,5,23,0
bdxc1,12.09665272,2016,5,6,23,0
bdxc1,12.57447699,2016,5,7,23,0
bdxc1,12.65378151,2016,5,8,23,0
bdxc1,12.83,2016,5,9,23,0
bdxc1,13.22697674,2016,5,10,23,0
bdxc1,13.63597122,2016,5,11,23,0
bdxc1,13.90422535,2016,5,12,23,0
bdxc1,15.85076923,2016,5,13,23,0
bdxc1,13.90633803,2016,5,14,23,0
bdxc1,13.96875,2016,5,15,23,0
bdxc1,11.36338028,2016,5,16,23,0
bdxc1,10.47622378,2016,5,17,23,0
bdxc1,11.57958333,2016,5,18,23,0
bdxc1,11.79,2016,5,19,23,0
bdxc1,10.57291667,2016,5,20,23,0
bdxc1,10.1209205,2016,5,21,23,0
bdxc1,11.29916667,2016,5,22,23,0
bdxc1,11.88995816,2016,5,23,23,0
bdxc1,11.41841004,2016,5,24,23,0
bdxc1,11.37875,2016,5,25,23,0
bdxc1,11.84225941,2016,5,26,23,0
bdxc1,12.73875,2016,5,27,23,0
bdxc1,11.18333333,2016,5,28,23,0
bdxc1,12.21841004,2016,5,29,23,0
bdxc1,15.29208333,2016,5,30,23,0
bdxc1,15.31291667,2016,5,31,23,0
bdxc1,13.82719665,2016,6,1,23,0
bdxc1,14.20708333,2016,6,2,23,0
bdxc1,14.59375,2016,6,3,23,0
bdxc1,14.82352941,2016,6,4,23,0
bdxc1,15.30958333,2016,6,5,23,0
bdxc1,15.22863248,2016,6,6,23,0
bdxc1,15.19541667,2016,6,7,23,0
bdxc1,15.34463519,2016,6,8,23,0
bdxc1,11.91,2016,6,9,23,0
bdxc1,11.55579399,2016,6,10,23,0
bdxc1,11.12708333,2016,6,11,23,0
bdxc1,11.5825,2016,6,12,23,0
bdxc1,12.18277311,2016,6,13,23,0
bdxc1,11.74791667,2016,6,14,23,0
bdxc1,11.16228814,2016,6,15,23,0
bdxc1,11.1465812,2016,6,16,23,0
bdxc1,12.24556962,2016,6,17,23,0
bdxc1,12.34916667,2016,6,18,23,0
bdxc1,11.35258621,2016,6,19,23,0
bdxc1,11.20941704,2016,6,20,23,0
bdxc1,10.90878661,2016,6,21,23,0
bdxc1,11.21166667,2016,6,22,23,0
bdxc1,10.04219409,2016,6,23,23,0
bdxc1,10.37916667,2016,6,24,23,0
bdxc1,10.24351464,2016,6,25,23,0
bdxc1,10.59041667,2016,6,26,23,0
