book_id,title,author,publisher,creation_date,pub_date,item_type,location_code,material_type,barcode,publication_place,language,descripton,loans
745,The big 'L' : American logistics in World War II /,NA,For sale by the US GPO Supt of Docs; National Defense University Press,2016-08-03T01:50:00Z,1997.,Book - Physical,GEN,Book,31175022062833,"Washington, DC :",eng,NA,1
746,"South Pacific indigenous nuts : proceedings of a workshop 31 October-4 November 1994, Le Lagon Resort, Port Vila, Vanuatu /",NA,Australian Centre for International Agricultural Research,2016-08-03T01:49:59Z,[1994?],Book - Physical,GEN,Book,31175022108453,"Canberra, ACT :",eng,NA,1
747,Sexual cultures and migration in the era of AIDS : anthropological and demographic perspectives /,NA,Oxford University Press; Clarendon Press,2016-08-03T01:50:01Z,1997.,Book - Physical,GEN,Book,31175021999316,Oxford : New York :,eng,NA,1
748,Image on the edge : the margins of medieval art /,"Camille, Michael, author.",Harvard University Press,2016-08-03T01:50:01Z,1992.,Book - Physical,GEN,Book,31175019238818,"Cambridge, Massachusetts :",eng,NA,1
749,The handbook of international macroeconomics /,NA,Blackwell,2016-08-03T01:50:05Z,1994.,Book - Physical,GEN,Book,31175019240780,"Oxford, UK ; Cambridge, Mass., USA :",eng,NA,1
750,Social stigma : the psychology of marked relationships /,NA,WH Freeman,2016-08-03T01:50:11Z,©1984.,Book - Physical,GEN,Book,31175009507479,New York :,eng,NA,1
751,La Ciudad de México : sus orígenes y desarrollo /,"Terrés, María Elodia.",Editorial Porrúa,2016-08-03T01:50:17Z,1977.,Book - Physical,GEN,Book,31175003943019,México :,spa,NA,1
752,Quan Song wen /,NA,Anhui jiao yu chu ban she; Shanghai ci shu chu ban she,2016-08-03T01:50:19Z,2006.,Book - Physical,EAL,Book,31175032153309,Shanghai Shi : Hefei Shi :,chi,v.72,1
753,Nonpoint source pollution regulation : issues and analysis /,NA,Kluwer Academic Publishers,2016-08-03T01:50:18Z,©1994.,Book - Physical,GEN,Book,31175019421554,Dordrecht ; Boston :,eng,NA,1
754,Quan Song wen /,NA,Anhui jiao yu chu ban she; Shanghai ci shu chu ban she,2016-08-03T01:50:19Z,2006.,Book - Physical,EAL,Book,31175032154380,Shanghai Shi : Hefei Shi :,chi,v.354,1
755,Quan Song wen /,NA,Anhui jiao yu chu ban she; Shanghai ci shu chu ban she,2016-08-03T01:50:19Z,2006.,Book - Physical,EAL,Book,31175032156716,Shanghai Shi : Hefei Shi :,chi,v.303,1
756,Quan Song wen /,NA,Anhui jiao yu chu ban she; Shanghai ci shu chu ban she,2016-08-03T01:50:19Z,2006.,Book - Physical,EAL,Book,31175032156484,Shanghai Shi : Hefei Shi :,chi,v.211,1
757,Quan Song wen /,NA,Anhui jiao yu chu ban she; Shanghai ci shu chu ban she,2016-08-03T01:50:19Z,2006.,Book - Physical,EAL,Book,31175032152970,Shanghai Shi : Hefei Shi :,chi,v.102,1
758,"Joan, a grove play,","Garthwaite, Jimmy, 1895-",Bohemian club,2016-08-03T01:50:22Z,1931.,Book - Physical,GEN,Book,31175018548415,"San Francisco,",eng,c.2,1
759,The origins of left-libertarianism : an anthology of historical writings /,NA,St Martin's Press,2016-08-03T01:50:32Z,2000.,Book - Physical,GEN,Book,31175026916315,Houndmills ; New York :,eng,NA,1
760,Wittgenstein : biography and philosophy /,NA,Cambridge University Press,2016-08-03T01:50:33Z,2001.,Book - Physical,GEN,Book,31175026032865,Cambridge ; New York :,eng,NA,1
761,Man Ray's Montparnasse /,"Lottman, Herbert R.",HN Abrams,2016-08-03T01:50:36Z,2001.,Book - Physical,GEN,Book,31175026031651,New York :,eng,NA,1
762,Inland fishes of California /,"Moyle, Peter B.",University of California Press,2016-08-03T01:50:44Z,2002.,Book - Physical,GEN,Book,31175027684292,Berkeley :,eng,c.2,1
763,Jewish thought in the seventeenth century /,NA,Distributed by Harvard University Press; Harvard University Center for Jewish Studies,2016-08-03T01:50:51Z,1987.,Book - Physical,GEN,Book,31175011842567,"Cambridge, Mass. :",eng,NA,1
764,The Gothic tradition in fiction /,"MacAndrew, Elizabeth, 1924-",Columbia University Press,2016-08-03T01:51:01Z,1979.,Book - Physical,GEN,Book,31175030535853,New York :,eng,NA,1
765,"The family and the state; select documents,","Breckinridge, Sophonisba P. 1866-1948. (Sophonisba Preston),",Arno Press,2016-08-03T01:51:12Z,1972.,Book - Physical,GEN,Book,31175002898628,"New York,",eng,NA,1
766,Family and gender in the Pacific : domestic contradictions and the colonial impact /,NA,Cambridge University Press,2016-08-03T01:51:16Z,1989.,Book - Physical,GEN,Book,31175013262178,Cambridge ; New York :,eng,NA,1
767,Aztec thought and culture : a study of the ancient Nahuatl mind /,"León Portilla, Miguel.",University of Oklahoma Press,2016-08-03T01:51:15Z,[1963],Book - Physical,GEN,Book,31175003774299,"Norman,",eng,NA,1
768,A family and a fortune /,"Compton-Burnett, I. 1884-1969. (Ivy),",Eyre & Spottiswoode,2016-08-03T01:51:17Z,[1952],Book - Physical,GEN,Book,31175005814143,London :,eng,NA,1
769,The Aztecs : the history of the Indies of New Spain /,"Durán, Diego, -1588?",Orion Press,2016-08-03T01:51:18Z,[1964],Book - Physical,GEN,Book,31175021856136,New York :,eng,c.2,1
770,Automation and management /,"Bright, James R. 1917- (James Rieser),",Division of Research Graduate School of Business Administration Harvard University,2016-08-03T01:51:22Z,1958.,Book - Physical,GEN,Book,31175000886641,Boston :,eng,NA,1
771,Aves sin nido : novela peruana /,"Matto de Turner, Clorinda, 1852-1909.",F Sempere,2016-08-03T01:51:22Z,[1889?],Book - Physical,GEN,Book,31175014879277,Valencia :,spa,NA,1
772,"Australia and Papua New Guinea,","Hudson, W. J. 1934- (William James),",Sydney University Press,2016-08-03T01:51:24Z,[1971],Book - Physical,GEN,Book,31175002424813,[Sydney],eng,NA,1
773,"San Francisco, Presidio, port and Pacific metropolis /","Cherny, Robert W.",Materials For Today's Learning,2016-08-03T01:51:27Z,©1988.,Book - Physical,GEN,Book,31175018238629,"Sparks, Nev. :",eng,NA,1
774,J.R.R. Tolkien : a descriptive bibliography /,"Hammond, Wayne G., author.",Oak Knoll Books; St Paul's Bibliographies,2016-08-03T01:51:31Z,1993.,Book - Physical,GEN,Book,31175017390678,"Winchester : New Castle, Delaware :",eng,NA,1
775,Philosophy and theology in the Middle Ages /,"Evans, G. R. (Gillian Rosemary)",Routledge,2016-08-03T01:51:33Z,1993.,Book - Physical,GEN,Book,31175017392336,London ; New York :,eng,NA,1
776,Autobiographical acts : the changing situation of a literary genre /,"Bruss, Elizabeth W.",Johns Hopkins University Press,2016-08-03T01:51:33Z,©1976.,Book - Physical,GEN,Book,31175001307597,Baltimore :,eng,NA,1
777,American apartheid : segregation and the making of the underclass /,"Massey, Douglas S.",Harvard University Press,2016-08-03T01:51:33Z,1993.,Book - Physical,GEN,Book,31175036328741,"Cambridge, Mass. :",eng,NA,1
778,"The Georgia gold rush : twenty-niners, Cherokees, and gold fever /","Williams, David, 1959-",University of South Carolina Press,2016-08-03T01:51:38Z,©1993.,Book - Physical,GEN,Book,31175017398523,"Columbia, S.C. :",eng,NA,1
779,"Catalog of paintings in the E.B. Crocker Art Gallery owned by the City of Sacramento, California, 1928.",E.B. Crocker Art Gallery.,NA,2016-08-03T01:51:40Z,1928.,Book - Physical,GEN,Book,31175021818714,NA,eng,NA,1
780,The science and applications of acoustics /,"Raichel, Daniel R.",Springer Science+Business Media,2016-08-03T01:51:43Z,©2006.,Book - Physical,GEN,Book,31175030185881,New York :,eng,NA,1
781,Drama and the market in the age of Shakespeare /,"Bruster, Douglas.",Cambridge University Press,2016-08-03T01:51:42Z,1992.,Book - Physical,GEN,Book,31175017395297,Cambridge [England] ; New York :,eng,NA,1
782,The house of belonging : poems /,"Whyte, David, 1955-",Many Rivers Press,2016-08-03T01:51:41Z,1997.,Book - Physical,GEN,Book,31175031141487,"Langley, Wash. :",eng,NA,1
783,Amateur operatics : a social and cultural history /,"Lowerson, John.",Distributed exclusively in the USA by Palgrave; Manchester University Press,2016-08-03T01:51:41Z,2005.,Book - Physical,GEN,Book,31175030236643,Manchester ; New York : New York :,eng,NA,1
784,The Crocker Art Museum centennial celebration.,Crocker Art Museum.,The Museum,2016-08-03T01:51:53Z,[1985],Book - Physical,GEN,Book,31175011516161,"[Sacramento, Calif.] :",eng,NA,1
785,Crisis or change : the concept of crisis in the light of agrarain structural reorganization in late medieval England /,"Hybel, Nils.",Aarhus University Press,2016-08-03T01:51:56Z,©1989.,Book - Physical,GEN,Book,31175018867393,[Aarhus] :,eng,NA,1
786,Korean Shamanism : the cultural paradox /,"Kim, Chongho, 1954-",Ashgate,2016-08-03T01:51:56Z,©2003.,Book - Physical,GEN,Book,31175028492141,"Aldershot, Hants, England ; Burlington, VT :",eng,NA,1
787,A plague of sheep : environmental consequences of the conquest of Mexico /,"Melville, Elinor G. K",Cambridge University Press,2016-08-03T01:51:55Z,1994,Book - Physical,GEN,Book,31175018855091,"Cambridge [England] ; New York, NY, USA :",eng,NA,1
788,Insect natural enemies : practical approaches to their study and evaluation /,NA,Chapman & Hall,2016-08-03T01:52:03Z,1996.,Book - Physical,GEN,Book,31175021614550,London :,eng,c.2,1
789,The remasculinization of America : gender and the Vietnam War /,"Jeffords, Susan, 1953-",Indiana University Press,2016-08-03T01:52:02Z,©1989.,Book - Physical,GEN,Book,31175026656499,Bloomington :,eng,NA,1
790,"De Orbe Novo, the eight Decades of Peter Martyr d'Anghera.","Anghiera, Pietro Martire d', 1457-1526.",B Franklin,2016-08-03T01:52:05Z,[1970],Book - Physical,GEN,Book,31175014862778,"New York,",eng,v.2,1
791,"De Orbe Novo, the eight Decades of Peter Martyr d'Anghera.","Anghiera, Pietro Martire d', 1457-1526.",B Franklin,2016-08-03T01:52:05Z,[1970],Book - Physical,GEN,Book,31175000714538,"New York,",eng,v.1,1
