borrower_id,user_group,creation_date
555,Undergraduate students,2016-09-13T00:00:00Z
556,Faculty and Staff,2016-09-13T00:00:00Z
557,Faculty and Staff,2016-09-15T00:00:00Z
558,Faculty and Staff,2016-09-21T00:00:00Z
559,Faculty and Staff,2016-10-11T00:00:00Z
560,Faculty and Staff,2016-10-14T00:00:00Z
561,Library Internal - Long Loan,2016-10-24T00:00:00Z
562,Faculty and Staff,2016-12-21T00:00:00Z
563,Faculty and Staff,2017-01-13T00:00:00Z
564,Faculty and Staff,2017-04-19T00:00:00Z
565,Faculty and Staff,2017-04-29T00:00:00Z
566,Law Faculty,2017-05-31T00:00:00Z
567,Faculty and Staff,2017-07-17T00:00:00Z
568,Faculty and Staff,2017-07-21T00:00:00Z
569,Faculty and Staff,2017-08-06T00:00:00Z
570,Faculty and Staff,2017-08-07T00:00:00Z
571,Faculty and Staff,2017-08-09T00:00:00Z
572,Faculty and Staff,2017-08-15T00:00:00Z
573,Faculty and Staff,2017-08-18T00:00:00Z
574,Faculty and Staff,2017-08-18T00:00:00Z
575,Faculty and Staff,2017-08-18T00:00:00Z
576,Graduate Students,2017-08-18T00:00:00Z
577,Graduate Students,2017-08-18T00:00:00Z
578,Faculty and Staff,2017-08-18T00:00:00Z
579,Faculty and Staff,2017-08-18T00:00:00Z
580,Faculty and Staff,2017-08-18T00:00:00Z
581,Faculty and Staff,2017-08-18T00:00:00Z
582,Faculty and Staff,2017-09-08T00:00:00Z
583,Faculty and Staff,2017-09-11T00:00:00Z
584,Faculty and Staff,2017-09-11T00:00:00Z
585,Faculty and Staff,2017-09-11T00:00:00Z
586,Faculty and Staff,2017-09-11T00:00:00Z
587,Faculty and Staff,2017-09-25T00:00:00Z
588,Faculty and Staff,2017-09-29T00:00:00Z
589,Faculty and Staff,2017-10-04T00:00:00Z
590,Faculty and Staff,2017-10-04T00:00:00Z
591,Faculty and Staff,2017-10-05T00:00:00Z
592,Faculty and Staff,2017-10-09T00:00:00Z
593,Faculty and Staff,2017-10-16T00:00:00Z
594,Faculty and Staff,2017-10-23T00:00:00Z
595,Faculty and Staff,2017-10-31T00:00:00Z
596,Faculty and Staff,2017-11-09T00:00:00Z
597,Faculty and Staff,2017-11-13T00:00:00Z
598,Faculty and Staff,2017-12-07T00:00:00Z
599,Faculty and Staff,2017-12-07T00:00:00Z
600,Faculty and Staff,2017-12-18T00:00:00Z
601,Law Faculty,2017-12-19T00:00:00Z
602,Faculty and Staff,2017-12-21T00:00:00Z
603,Faculty and Staff,2018-01-14T00:00:00Z
604,Faculty and Staff,2018-01-17T00:00:00Z
605,Faculty and Staff,2018-01-22T00:00:00Z
606,Faculty and Staff,2018-01-22T00:00:00Z
607,Faculty and Staff,2018-01-22T00:00:00Z
608,Faculty and Staff,2018-01-22T00:00:00Z
609,Law Faculty,2018-01-22T00:00:00Z
610,Faculty and Staff,2018-01-23T00:00:00Z
611,Faculty and Staff,2018-01-22T00:00:00Z
612,Faculty and Staff,2018-01-23T00:00:00Z
613,Faculty and Staff,2018-01-23T00:00:00Z
614,Faculty and Staff,2018-01-23T00:00:00Z
615,Faculty and Staff,2018-01-23T00:00:00Z
616,Faculty and Staff,2018-01-23T00:00:00Z
617,Faculty and Staff,2018-01-22T00:00:00Z
618,Faculty and Staff,2018-01-23T00:00:00Z
619,Faculty and Staff,2018-01-23T00:00:00Z
620,Faculty and Staff,2018-01-23T00:00:00Z
621,Law Faculty,2018-01-22T00:00:00Z
622,Faculty and Staff,2018-01-22T00:00:00Z
623,Faculty and Staff,2018-01-23T00:00:00Z
624,Faculty and Staff,2018-01-22T00:00:00Z
625,Faculty and Staff,2018-01-22T00:00:00Z
626,Faculty and Staff,2018-01-23T00:00:00Z
627,Faculty and Staff,2018-01-23T00:00:00Z
628,Faculty and Staff,2018-01-23T00:00:00Z
629,Law Faculty,2018-01-23T00:00:00Z
630,Faculty and Staff,2018-01-23T00:00:00Z
631,Faculty and Staff,2018-01-25T00:00:00Z
632,Faculty and Staff,2018-04-19T00:00:00Z
633,Faculty and Staff,2018-05-09T00:00:00Z
634,Faculty and Staff,2018-07-02T00:00:00Z
635,Faculty and Staff,2018-07-02T00:00:00Z
636,Faculty and Staff,2018-07-02T00:00:00Z
637,Undergraduate students,2018-07-05T00:00:00Z
638,Law Faculty,2018-07-07T00:00:00Z
639,Faculty and Staff,2018-07-11T00:00:00Z
640,Faculty and Staff,2018-07-24T00:00:00Z
641,Faculty and Staff,2018-08-08T00:00:00Z
642,Faculty and Staff,2018-08-09T00:00:00Z
643,Faculty and Staff,2018-08-13T00:00:00Z
644,Faculty and Staff,2018-08-13T00:00:00Z
645,Law Public,2018-08-19T00:00:00Z
646,Faculty and Staff,2018-08-19T00:00:00Z
647,Undergraduate students,2018-08-19T00:00:00Z
648,Undergraduate students,2018-08-19T00:00:00Z
649,Undergraduate students,2018-08-19T00:00:00Z
650,Faculty and Staff,2018-08-19T00:00:00Z
651,Faculty and Staff,2018-08-19T00:00:00Z
652,Faculty and Staff,2018-08-19T00:00:00Z
653,Graduate Students,2018-08-19T00:00:00Z
654,Faculty and Staff,2018-09-05T00:00:00Z
655,Faculty and Staff,2018-10-03T00:00:00Z
656,Library Internal - Long Loan,2018-10-02T00:00:00Z
657,Faculty and Staff,2018-10-04T00:00:00Z
658,Faculty and Staff,2018-10-05T00:00:00Z
659,Law Students and Staff,2018-10-13T00:00:00Z
660,Faculty and Staff,2018-10-15T00:00:00Z
661,Faculty and Staff,2018-10-24T00:00:00Z
662,Faculty and Staff,2018-11-05T00:00:00Z
663,Faculty and Staff,2018-11-29T00:00:00Z
664,Faculty and Staff,2018-11-28T00:00:00Z
665,Faculty and Staff,2018-12-19T00:00:00Z
666,Faculty and Staff,2001-09-28T00:00:00Z
667,Faculty and Staff,1991-07-26T00:00:00Z
668,Faculty and Staff,2007-10-25T00:00:00Z
669,Faculty and Staff,2019-01-07T00:00:00Z
670,Faculty and Staff,2008-03-09T00:00:00Z
671,Faculty and Staff,1991-07-26T00:00:00Z
672,Faculty and Staff,2019-02-06T00:00:00Z
673,Faculty and Staff,2007-04-03T00:00:00Z
674,Faculty and Staff,1999-12-01T00:00:00Z
675,Faculty and Staff,2006-10-05T00:00:00Z
676,Faculty and Staff,2015-09-24T00:00:00Z
677,Faculty and Staff,2010-08-23T00:00:00Z
678,Faculty and Staff,2019-02-27T00:00:00Z
679,Faculty and Staff,2019-02-27T00:00:00Z
680,Faculty and Staff,2019-03-03T00:00:00Z
681,Faculty and Staff,2007-08-28T00:00:00Z
682,Faculty and Staff,1991-01-11T00:00:00Z
683,Faculty and Staff,2004-11-02T00:00:00Z
684,Faculty and Staff,2004-10-06T00:00:00Z
685,Faculty and Staff,2016-03-02T00:00:00Z
686,Faculty and Staff,1998-08-12T00:00:00Z
687,Faculty and Staff,2019-03-23T00:00:00Z
688,Faculty and Staff,2019-04-10T00:00:00Z
689,Faculty and Staff,2019-06-05T00:00:00Z
690,Faculty and Staff,2019-06-06T00:00:00Z
691,Faculty and Staff,2019-06-18T00:00:00Z
692,Law Faculty,2019-07-05T00:00:00Z
693,Faculty and Staff,2019-07-10T00:00:00Z
694,Faculty and Staff,2019-07-10T00:00:00Z
695,Faculty and Staff,2019-07-17T00:00:00Z
696,Faculty and Staff,2019-07-18T00:00:00Z
697,Law Faculty,2019-07-31T00:00:00Z
698,Faculty and Staff,2019-08-02T00:00:00Z
699,Faculty and Staff,2019-08-16T00:00:00Z
700,Faculty and Staff,2019-08-20T00:00:00Z
701,Undergraduate students,2019-08-21T00:00:00Z
702,Faculty and Staff,2019-08-21T00:00:00Z
703,Faculty and Staff,2019-08-21T00:00:00Z
704,Faculty and Staff,2019-08-21T00:00:00Z
705,Faculty and Staff,2019-08-21T00:00:00Z
706,Undergraduate students,2019-08-21T00:00:00Z
707,Undergraduate students,2019-08-21T00:00:00Z
708,Law Students and Staff,2019-08-21T00:00:00Z
709,Graduate Students,2019-08-21T00:00:00Z
710,Faculty and Staff,2019-08-21T00:00:00Z
711,Faculty and Staff,2019-08-21T00:00:00Z
712,Undergraduate students,2019-08-21T00:00:00Z
713,Faculty and Staff,2019-08-23T00:00:00Z
714,Graduate Students,2019-09-06T00:00:00Z
715,Faculty and Staff,2019-09-19T00:00:00Z
716,Faculty and Staff,2019-11-08T00:00:00Z
717,Faculty and Staff,2019-12-20T00:00:00Z
718,Faculty and Staff,2019-12-18T00:00:00Z
719,Faculty and Staff,2020-01-23T00:00:00Z
720,Faculty and Staff,2020-02-22T00:00:00Z
721,Faculty and Staff,2020-03-04T00:00:00Z
NA,NA,NA
